0e3AX-_9cGA Dodgers vs. Giants Game Highlights (5/21/21) | MLB Highlights
0eATBkEALxY Dodgers vs. Phillies Game Highlights (8/10/21) | MLB Highlights
0eHqNOmoeec Pirates vs. Reds Game Highlights (8/6/21) | MLB Highlights
0fI5jXUYtTQ Braves vs. Brewers Game Highlights (5/14/21) | MLB Highlights
0hixXndP7t4 Yankees vs. White Sox Field of Dreams Game Highlights (8/12/21) | MLB Highlights
0j8wKjHj_Vc Reds vs. Cubs Game Highlights (7/26/21) | MLB Highlights
0lGof55a8Ec Cubs vs. Indians Game Highlights (5/11/21) | MLB Highlights
0qcQwUFKVNA Dodgers top A's, clinch eighth straight NL West title | A's-Dodgers Game Highlights 9/22/20
0qid6PNgliQ Reds vs. D-backs Game Highlights (4/10/21) | MLB Highlights
0rrHtDBR5Mk Orioles vs. Nationals Game Highlights (5/23/21) | MLB Highlights
0sp7sLAPdhU Dodgers vs. Giants Game Highlights (5/23/21) | MLB Highlights
0tTRdIXngLA Indians vs. Pirates Game Highlights (6/20/21) | MLB Highlights
0v0HLkM83vk Mariners vs. Astros Game Highlights (4/29/21) | MLB Highlights
0viAJ61mlZA Phillies vs. Dodgers Game Highlights (6/15/21) | MLB Highlights
0wDQZrIMCvU Padres explode for 13 runs in 13-2 win | Padres-Rockies Game Highlights 8/30/20
0xTuCbPLVM0 Blue Jays erupt for 4 in the 10th in win | Blue Jays-Red Sox Game Highlights 9/3/20
0yTmSX6IoLw Padres vs. Braves Game 1 Highlights (7/21/21) | MLB Highlights
0yXjEjw1ni4 Nationals vs. Mets Game Highlights (8/12/21) | MLB Highlights
0zawoqlFs_I Marlins outlast Blue Jays in 14-11 affair | Marlins-Blue Jays Game Highlights 8/12/20
0zjSMtu_ZWI Reds vs. Cubs Game Highlights (7/29/21) | MLB Highlights
0zoGLfl8GAs Edwin Encarnaci\u00f3n leads White Sox in 8-2 win | White Sox-Royals Game Highlights 9/6/20
1-am2pH8-F0 D-backs vs. Braves Game 2 Highlights (4/25/21) | MLB Highlights
10VR14vUbrI Royals vs. Rangers Game Highlights (6/27/21) | MLB Highlights
10beIfY_d-s D-backs vs. Giants Game Highlights (8/11/21) | MLB Highlights
12Cuxuj3gNM Brewers vs. Pirates Game 2 Highlights (8/14/21) | MLB Highlights
13bHLpTQSFA Rockies vs. Marlins Game Highlights (6/9/21) | MLB Highlights
14uRUBIN-J0 D-Backs vs. Padres Game Highlights (6/27/21) | MLB Highlights
17G-37EtWBM DJ LeMahieu, Gio Urshela lead Yankees to win | Rays-Yankees Game Highlights 9/1/20
17NU9lsKYGY Xander Bogaerts homers in Red Sox's 5-3 win | Nationals-Red Sox Game Highlights 8/29/20
17nSdraJW8U Brewers vs. Cubs Game 1 Highlights (8/10/21) | MLB Highlights
185xiozVb5Y Nationals vs. Giants Game Highlights (7/10/21) | MLB Highlights
1CMh51-7R0s Tucker cranks a two-run HR, Valdez K's 11 in 2-1 win | Rangers-Astros Game Highlights 9/17/20
1CuH_ZII3yw Rockies vs. Dodgers Game Highlights (4/15/21) | MLB Highlights
1DpsJusSYMs Wil Myers walks it off in Game 1 victory | Mariners-Padres Game Highlights 8/27/20
1FfNL-6w8E0 Marlins vs. Pirates Game Highlights (6/3/21) | MLB Highlights
1FljM2Zr99Q Reds vs. Giants Game Highlights (4/12/21) | MLB Highlights
1IUXkRigwMw Gerrit Cole leads the Yankees to a 6-0 win | Orioles-Yankees Game 1 Highlights 9/11/20
1JUoEZt9uys Byron Buxton homers twice in 12-2 rout | Twins-Brewers Game Highlights 8/11/20
1JnknR2RIPM Phillies vs. Reds Game Highlights (6/1/21) | MLB Highlights
1LQj_oZPxOA Marlins vs. Giants Game Highlights (4/24/21) | MLB Highlights
1NkvzB7545M Indians vs. Royals Game Highlights (5/05/21) | MLB Highlights
1OVQIkRROGY Dansby Swanson leads Braves in 14-1 rout of Mets | Braves-Mets Game Highlights 7/26/20
1Qpn9sfs3co Anderson throws 1st complete game in win | D-backs-Giants Game Highlights 8/22/20
