o_FN55VUqRc Taotie: The Mystery of Chinese Mythology’s Famous Glutton | Monstrum
r1c-ah112UM Banshee: Ireland's Screaming Harbinger of Death | Monstrum
r6-iARavKYQ The Macabre Origins of the Grim Reaper (feat. @Caitlin Doughty – Ask A Mortician!) | Monstrum
rtqRaKhu1VY Jane Eyre: Why We Keep Reading It (Feat. Princess Weekes) | It’s Lit
s-pMfIWl4kI Cyclops: The Origin Story of this Terrifying One-Eyed Giant | Monstrum
scgn2BCcht4 Why Magical Realism is a Global Phenomenon | It's Lit
swuoSZXQTac The Unexpected Origins of the Word ‘Monster’ (feat. Dr. Z) | Otherwords
t4wNZDIH8d8 The Byronic Hero: Isn’t it Byronic? (Feat. Princess Weekes) | It’s Lit
tCsHkU-TH3Y Jorōgumo: The Deadly Spider Woman from Yokai Lore | Monstrum
tTpbZVxz3SI Release the Kraken! Origins of the Legendary Sea Monster | Monstrum
tuSrajd9D8k Krampus: Origins of the Yuletide Monster | Monstrum
u-n4ws9EzUU Pontianak: The Vengeful, Violent Vampiric Ghost of Southeast Asia | Monstrum
v6s-jnfBxD0 Leshy: The Slavic Lord of the Forest | Monstrum
vTdIwEg5niQ Blame the Tokoloshe! South Africa’s Most Notorious Goblin
vfWUorR8D60 The Wicked Feline Murder Floof, a Yule Cat Story | Monstrum
vx_xR1xoDrY Death Worms: Fact or Fiction? | Monstrum
wW6eKLLViK8 Unlocking the Mystery of Loch Ness | Monstrum
wefpgj0IqEA Anne Rice, The Queen of Literary Monsters (Feat. Lindsay Ellis) | It’s Lit
x-GjSU4nOxE How Chimaera Mythology Became Reality | Monstrum
xpKqRC-9Avc The Fiery History of Banned Books (Feat. Princess Weekes) | It's Lit
y9550OVlMg8 Godzilla and Mothra: King and Queen of the Kaiju | Monstrum
yDxTCT_n7D0 War and Peace and Everything Else (Feat. Lindsay Ellis and Princess Weekes) | It’s Lit
z98DuYg01aM What You Don’t Know About The Father of Sci-Fi (Feat. Princess Weekes) | It's Lit
zHtCcdEeGFQ Kasogonagá: Sky Deity and Absolute Cutie | Monstrum
zdRY0x2x6PQ The Screwed-Up History of English Spelling | Otherwords
